"ISO 3 Letter Code","SURVEYED COUNTRY","YEAR OF DATA","R_BOTH 
WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","NR_BOTH
  NUMBERS WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS NON RANGERS","R_ONLY
 NUMBERS WHERE ONLY RANGERS ARE LISTED (NON RANGER NUMBERS NOT PROVIDED)
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","RNR_UND
NUMBERS PROVIDED AS AN UNDIFFERENTIATED TOTAL (COMBINED RANGERS AND NON RANGERS)","RNRT_1
TOTAL SURVEYED STAFF  (SUM D,E,F,G)","AREA OF PAs REPORTED  SURVEYED IN STAFF SURVEY SQ KM","AREA OF TERRESTRIAL PAS IN THE COUNTRY USED FOR CALCULATIONS (Higlighted IF DIFFERENT FROM WDPA)","TOTAL AREA OF TERRESTRIAL PAS IN THE COUNTRY in SQ KM (WDPA )","TOTAL TERRESTRIAL AREA OF  COUNTRY (WDPA)","RELIABILITY SCORE /25","UN CONT","UN SUBCONT","Forest_area_percent_total","Ecosystem Vitality Index (EVI New)","Species Protection Index (SPI.new )","EPI.new_2020","GDP_Per Capita","GDP_2019","GDP_growth","Unemployment_total","Rural_population_percentage","Adjusted net national income per capita","Population Density","PROPORTION IUCN CAT (I-IV)/(I-VI)","PROPORTION IUCN CAT (I-II)/(I-VI)","Notes"
"KNA","Saint Kitts and Nevis","2017",NA,NA,5,NA,5,62,62,62,271,16,419,29,42.3076923076923,NA,NA,NA,19896.4957043824,1050992593,2.504709007,5.11999988555908,69.201,NA,201.696153846154,1,1,"Unemployment_total 2001; Pop. density 2018; Forest%_2016"
"KOR","Korea, Rep.","2020",455,1643,NA,NA,2098,6726,16917,16917,99713,23,142,30,63.3548364929779,56.6,90.1,66.5,31761.9776923447,1.64238e+12,2.033150971,3.74589991569519,18.57,26856.1947404598,529.358501289308,0.601229,0.093102,"Pop. density 2018; Income 2018; Forest%_2016"
"KOS","Kosovo","2012",21,22,NA,NA,43,1160,1189,1189,10887,22,150,39,NA,NA,NA,NA,4417.50993975428,7926108374,4.171659654,25.5562000274658,NA,NA,164.508404519151,NA,NA,"Pop. density 2017"
"LAO","Lao PDR","2020",393,170,NA,NA,563,41118,43220,43220,231276,22,142,35,82.1082325741984,39.9,83.3,34.8,2534.89827724281,18173839128,4.651887119,9.4060001373291,64.355,1854.91074566654,30.5957842287695,0.271033,0.239398,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"LBN","Lebanon","2021",25,75,NA,NA,100,225,225,225,10329,20,142,145,13.4291304870785,40.3,25.7,45.4,7784.31685692975,53367042272.1725,-5.6371706405001,6.3549919128418,11.242,6399.60300692974,669.494134897361,1,1,"Unemployment_total 2009; Pop. density 2018; Income 2018; Forest%_2016"
"LBR","Liberia","2020",167,13,NA,NA,180,3915,3916,3916,96634,21,2,11,43.0751661129568,23.6,53.7,22.6,621.892953622715,3070518100,-2.27824513,3.08060002326965,48.385,434.839343199258,50.0309073920266,NA,NA,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"LBY","Libya","2017",95,73,NA,NA,168,2084,2084,2084,1622615,22,2,15,0.123327687918433,NA,NA,NA,7683.75061122959,52076250948,2.535953478,19.0300006866455,19.607,6637.25910273699,3.79563238119054,1,0.9904,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016"
"LCA","Saint Lucia","2019",25,19,NA,NA,44,117,117,117,622,22,419,29,33.1803274936364,40,NA,43.1,11611.4154473966,2122450630,1.728838432,15.5860996246338,81.246,9254.08868290826,298.17868852459,0.93246,0.93246,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"LKA","Sri Lanka","2020",943,258,NA,NA,1201,17670,19897,19897,66632,23,142,34,32.9038415299593,36.9,70.9,39,3853.08369288942,84008783756,2.283465301,4.78999996185303,81.415,3670.7593648522,345.558922022006,1,0.87668,"Pop. density 2018; Income 2018; Forest%_2016"
"LSO","Lesotho","2017",48,9,NA,NA,57,153,153,153,30495,17,2,18,1.64690382081686,38.8,26.2,28,1157.53516433147,2460072444,1.516001439,24.5799999237061,71.415,1155.01537546416,69.437812911726,1,0,"Unemployment_total 2013; Pop. density 2018; Income 2018; Forest%_2016"
"LTU","Lithuania","2014",31,255,NA,NA,286,5160,11028,11028,64697,17,150,154,34.8328586566054,62.7,100,62.9,19455.4541266341,54219315600,3.930407976,6.25519990921021,32.145,16133.0603567587,44.7230757742448,0.223542,0.052385,"Pop. density 2018; Income 2018; Forest%_2016"
"LVA","Latvia","2017",50,69,NA,NA,119,11735,11735,11735,64502,22,150,154,53.9787697385614,64,100,61.6,17836.3648865958,34117202555,2.197441768,6.31209993362427,31.778,13744.8993553751,30.9934705693149,0.009883,0.000656,"Pop. density 2018; Income 2018; Forest%_2016"
"MAR","Morocco","2017",62,106,NA,NA,168,4592,17382,17382,407280,18,2,15,12.6013892000896,48.3,95.7,42.3,3204.09500313298,1.18725e+11,2.3,9.30000019073486,37.006,2792.13264153048,80.7285189334528,0.995605,0.995605,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"MDA","Moldova","2014",446,324,NA,NA,770,1930,3882,3882,33964,18,150,151,12.575251021694,43.6,2.5,44.4,4498.52085021233,11955435457,3.456278122,5.09899997711182,57.274,3876.12111297648,94.018880412443,0.503092,0.405477,"Income 2018; Forest%_2016"
"MDG","Madagascar","2019",690,677,NA,NA,1367,26267,44521,44521,594719,19,2,14,21.4111378480578,29.4,48.6,26.5,522.21980923047,14083906357,4.8,1.78519999980927,62.139,442.958062692618,45.1398556204881,0.623032,0.439888,"Unemployment_total 2015; Pop. density 2018; Income 2018; Forest%_2016"
"MEX","Mexico","2020",655,567,NA,NA,1222,170992,284801,284801,1965285,22,419,13,33.9249458255099,55.9,51.8,52.6,9863.0726988757,1.25829e+12,-0.14560232,3.48280000686646,19.556,7447.23892344743,64.9146264050001,0.08508,0.084152,"Pop. density 2018; Income 2018; Forest%_2016"
"MKD","North Macedonia","2020",75,136,NA,NA,211,1941,2688,2688,25443,21,150,39,39.5717684377478,63.2,93.3,55.4,6093.14769049676,12694823394,3.550583873,17.2574005126953,41.792,4653.82167986588,82.5915146708961,0.859691,0.649259,"Pop. density 2018; Income 2018; Forest%_2016"
"MLI","Mali","2009/2020",NA,NA,124,NA,124,39180,94591,94591,1256684,15,2,11,3.79940828887304,36,84.6,29.4,890.737285506382,17510141171,5.040000002,1.61989998817444,56.864,738.231712869656,15.635015858186,0.868664,0.041796,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"MMR","Myanmar","2010",400,143,NA,NA,543,39084,44289,44289,673079,17,142,35,43.6311012576943,25.4,69.3,25.1,1407.81314341043,76085852617,2.887960733,0.503400027751923,69.148,1242.44020328615,82.2386154835549,1,0.254465,"Pop. density 2018; Income 2018; Forest%_2016"
"MNE","Montenegro","2013",38,61,NA,NA,99,542,1908,1908,13848,15,150,39,61.4869888475836,46.1,5.5,46.3,8832.03683598629,5494736901,3.620808341,15.1229000091553,32.85,7717.7598812142,46.2622304832714,0.465791,0.433518,"Pop. density 2018; Income 2018; Forest%_2016"
"MNG","Mongolia","2019",390,165,NA,NA,555,267000,310016,310016,1565864,23,142,30,8.01740488378305,35.3,97.9,32.2,4295.23502487944,13852850259,5.099167896,10.0271997451782,31.457,2553.4423325542,2.04060866654651,1,0.869783,"Pop. density 2018; Income 2018; Forest%_2016"
"MOZ","Mozambique","2016",NA,NA,652,NA,652,69583,233249,233249,791082,19,2,14,47.9839283329942,37.8,80.2,33.9,491.804723063735,14934159926,2.223877655,3.42639994621277,63.472,438.110534802113,37.508535313716,0.169829,0.151011,"Unemployment_total 2015; Pop. density 2018; Income 2018; Forest%_2016"
"MRT","Mauritania","2008 + 2016",35,113,NA,NA,148,6269,6508,6508,1046303,16,2,11,0.21441738624236,32.8,1.4,27.7,1677.91925268633,7593752450,5.930510885,10.3359003067017,45.493,1345.69111097722,4.27216357815077,1,1,"Pop. density 2018; Income 2018; Forest%_2016"
"MSR","Montserrat","2020",4,2,NA,NA,6,11,11,11,101,20,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,"Source for pop. density (2020): https://www.worldometers.info/world-population/montserrat-population/"
"MWI","Malawi","2017",872,296,NA,NA,1168,24209,27190,27190,118860,24,2,14,33.1883750530335,46.2,89.2,38.3,411.552340423602,7666704427,4.369238986,28.6665000915527,82.826,296.722222950382,192.440761561307,1,0.643037,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"MYS","Malaysia","2012-2018",958,1811,NA,NA,2769,19761,44205,44205,331701,15,142,35,67.5976235542535,42.9,61.7,47.9,11414.8376618668,3.64702e+11,4.330218416,3.30999994277954,23.393,8180.05195133283,95.9628214883579,0.811953,0.7987,"Pop. density 2018; Income 2018; Forest%_2016"
"NAM","Namibia","2017",358,28,NA,NA,386,129210,313534,313534,827465,18,2,18,8.31395960680623,52,94.4,40.2,4957.4580058497,12366527719,-1.13409795,19.8770008087158,48.958,4598.59406509694,2.97374558175127,0.986389,0.986157,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"NER","Niger","2010/2016",68,45,NA,NA,113,184162,216586,216586,1190099,18,2,11,0.891765986883982,39.9,92.6,30.8,554.600968697425,12928145120,5.828590084,7.76889991760254,83.483,500.717008084981,17.7176505881424,1,2.1e-05,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"NGA","Nigeria","2017",1908,74,NA,NA,1982,37917,127332,127332,914306,16,2,11,7.22838905798802,42.4,89,31,2229.85869624463,4.4812e+11,2.208429277,8.5310001373291,48.843,1586.94808869186,215.064988965381,1,0.734888,"Pop. density 2018; Income 2018; Forest%_2016"
"NIC","Nicaragua","2020",NA,NA,369,NA,369,27585,27585,27585,129222,19,419,13,25.8766827322586,38.6,89.5,39.2,1912.90374537869,12520915291,-3.8785099,5.19999980926514,41.24,1725.35884472562,53.7270483629716,0.988764,0.306151,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"NLD","Netherlands","2020",101,1159,NA,NA,1260,2730,7914,7914,35206,20,150,155,11.1783913951771,64.8,94.1,75.3,52447.8314391911,9.0907e+11,1.810503082,3.3798999786377,8.124,44689.5740690197,511.475927574948,1,0.990665,"Pop. density 2018; Income 2018; Forest%_2016"
"NOR","Norway","2020",97,86,NA,NA,183,56574,57272,57272,325288,25,150,154,33.1778599014523,63.8,86.7,77.7,75419.6348688089,4.03336e+11,1.154721939,3.68720006942749,17.384,66019.0729425132,14.5482916341657,0.785908,0.70012,"Pop. density 2018; Income 2018; Forest%_2016"
"NPL","Nepal","2019",1030,879,NA,NA,1909,34898,34898,34898,147710,25,142,34,25.364492500872,40.5,84.2,32.7,1071.05076056552,30641380604,6.991212438,11.3554000854492,79.847,919.106999785744,195.939107080572,0.298245,0.267744,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"NZL","New Zealand","2020",1042,467,NA,NA,1509,85804,90051,90051,269652,25,9,53,38.5560753306464,60.2,81.1,71.3,42084.3533748088,2.06929e+11,2.170978389,4.07100009918213,13.385,34056.9006796497,18.3851733697923,0.668563,0.174592,"Pop. density 2018; Income 2018; Forest%_2016"
"PAK","Pakistan","2020",2010,168,NA,NA,2178,48745,98288,98288,798144,21,142,34,1.85372561228726,45.3,62,33.1,1284.70204090039,2.78222e+11,0.98882944,4.08319997787476,63.093,1468.73079504901,275.289318700706,0.969358,0.243258,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"PAN","Panama","2020",274,68,NA,NA,342,15773,24111,24111,75498,24,419,13,61.8859308266915,45.2,78.9,47.3,15731.0160348471,66800800000,3.006389295,4.73920011520386,31.941,13259.6029547338,56.1860774818402,0.425048,0.366243,"Pop. density 2018; Income 2018; Forest%_2016"
"PER","Peru","2020",710,213,NA,NA,923,226469,280941,280941,1298537,23,419,5,57.6604675292969,43.2,67.9,44,6977.69578355382,2.26848e+11,2.150131391,3.02990007400513,21.901,5520.04900171973,24.99160625,0.485189,0.465368,"Pop. density 2018; Income 2018; Forest%_2016"
"PHL","Philippines","2020",866,658,NA,NA,1524,47412,47412,47412,298775,25,142,35,27.7693932991247,41.4,74.2,38.4,3485.08421836621,3.76796e+11,6.040575257,2.23729991912842,52.851,3246.38162894732,357.688305329175,0.567738,0.283168,"Pop. density 2018; Income 2018; Forest%_2016"
"PNG","Papua New Guinea","2020",260,30,NA,NA,290,17248,17248,17248,467406,21,9,54,74.0983951303935,35.1,25.4,32.4,2845.18018574842,24969611435,5.623797977,2.61999988555908,86.75,2028.05253077751,19.0043633794109,0,0,"Unemployment_total 2011; Pop. density 2018; Income 2018; Forest%_2016"
"POL","Poland","2020",101,1449,NA,NA,1550,13996,123339,123339,311924,20,150,151,30.8834390258091,62.3,100,60.9,15595.2270334259,5.92164e+11,4.147023756,3.27729988098145,39.963,12954.1265465092,124.023482151605,0.010466,0.00061,"Pop. density 2018; Income 2018; Forest%_2016"
"PRT","Portugal","2020",330,977,NA,NA,1307,21112,21112,21112,92141,24,150,39,34.6114238253689,56.1,94.1,67,23145.0408172828,2.37686e+11,2.164403593,6.46299982070923,34.236,18783.9804135535,112.2619412173,0.128886,0.008046,"Pop. density 2018; Income 2018; Forest%_2016"
"PRY","Paraguay","2021",60,10,NA,NA,70,27000,57473,57473,401498,22,419,5,37.7488034467027,46.2,85.4,46.4,5414.79913793258,38145288940,-0.02991439,6.59469985961914,38.121,4569.91530794285,17.5083589227284,0.916107,0.482711,"Pop. density 2018; Income 2018; Forest%_2016"
"PSE","State of Palestine","2017",NA,NA,40,NA,40,15,517,517,6182,16,142,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,0.97941,0.101836,"Source for pop. density (2020): https://www.worldometers.info/world-population/state-of-palestine-population/"
"REU","Reunion",NA,NA,NA,0,79,79,1058,1601,1601,2536,19,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,0.997721,0.974174,"Source for pop. density (2020): https://www.worldometers.info/world-population/reunion-population/"
"ROU","Romania","2020",336,537,NA,NA,873,58225,58225,58225,237453,25,150,151,30.1208283871371,74.4,98.2,64.7,12919.5296441908,2.50077e+11,4.07954831,3.91170001029968,45.916,9716.21717542217,84.633801286509,0.119469,0.015107,"Pop. density 2018; Income 2018; Forest%_2016"
"RUS","Russian Federation","2019",3818,6632,NA,NA,10450,748937,1932707,1932707,16874836,20,150,151,49.7585619230048,48.8,94.9,50.5,11584.9953826104,1.69988e+12,1.341875441,4.49569988250732,25.413,8573.21338231173,8.82206795315588,0.806956,0.241753,"Pop. density 2018; Income 2018; Forest%_2016"
"RWA","Rwanda","2020",122,148,NA,NA,270,1122,2317,2317,25452,13,2,14,19.7324680905135,40,76,33.8,801.656186978807,10122472590,9.406934948,15.3016996383667,82.687,613.610383861716,498.659870287799,1,0.530029,"Pop. density 2018; Income 2018; Forest%_2016"
"SGP","Singapore","2019",6,13,NA,NA,19,34,34,34,605,22,142,35,23.0606488428662,40.2,NA,58.1,65233.2824392302,3.72063e+11,0.733309935,3.09999990463257,0,50176.2369312917,7952.9984184018,1,1,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"SLE","Sierra Leone","2020",NA,NA,244,NA,244,3500,9270,9270,72709,22,2,11,43.0534787705216,30.2,80.9,25.7,504.46254336648,3941474311,5.513460168,4.67799997329712,57.516,435.397351660568,105.987170961485,0.88698,0.880301,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016"
"SLV","El Salvador","2018",179,10,NA,NA,189,1778,1778,1778,20573,23,419,13,12.5772203717913,43.5,26.2,43.1,4187.2500311069,27022640000,2.382362908,4.16989994049072,27.254,3314.69966218809,309.881467181467,0.77433,0.520451,"Pop. density 2018; Income 2018; Forest%_2016"
"SRB","Serbia","2014",500,345,NA,NA,845,4360,6766,6766,88509,17,150,39,31.1159375982592,60.2,96.8,55.2,7402.35455862041,51409167351,4.1870987,10.3948001861572,43.74,5708.81877652107,79.8376857992225,0.414273,0.158821,"Pop. density 2018; Income 2018; Forest%_2016"
"STP","Sao Tome and Principe","2012",10,6,NA,NA,16,289,289,289,989,18,2,17,55.8333317438761,43.6,NA,37.6,1994.90646719089,429016605.2,2.399999446,13.5900001525879,26.402,1384.69974809866,219.820833333333,NA,NA,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"SUR","Suriname","2020",NA,NA,52,NA,52,21426,21426,21426,147558,18,419,5,98.2576935596955,50.9,84.3,45.2,6854.90656148409,3985250737,-0.77176374,7.21999979019165,33.905,3262.74478623291,3.69225,0.744257,0.047638,"Unemployment_total 2015; Pop. density 2018; Income 2018; Forest%_2016"
"SVK","Slovak Republic","2019",120,302,NA,NA,422,18128,18396,18396,48941,25,150,151,40.3535763554883,70.9,100,68.3,19329.0968007902,1.05422e+11,2.398568858,5.75419998168945,46.271,15123.3743657888,113.285586522463,0.051202,0.035043,"Pop. density 2018; Income 2018; Forest%_2016"
"SVN","Slovenia","2019",85,106,NA,NA,191,8197,8197,8197,20309,24,150,39,61.9700119864299,74.1,100,72,25739.2478143246,53742159517,2.442991915,4.44579982757568,45.178,20700.6490817618,102.96366052404,0.117266,0.023453,"Pop. density 2018; Income 2018; Forest%_2016"
"SWZ","Eswatini","2017",299,78,NA,NA,377,738,738,738,17336,23,2,18,34.3372078829034,44.6,59.3,33.8,3837.02699384472,4405405802,2.013918405,22.7176990509033,76.019,3216.67202704576,66.0576162790698,0.977911,0.975814,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"TCD","Chad","2012",572,46,NA,NA,618,155973,267716,267716,1276586,16,2,17,3.77096561494898,34.6,83.3,26.7,709.540310138533,11314951343,3.247181917,1.13489997386932,76.721,522.040577344011,12.2917336404066,1,0.017984,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"TGO","Togo","2008",108,7,NA,NA,115,4643,16081,16081,57481,12,2,11,3.09248017922857,38.2,73.5,29.5,675.542213340634,5459979417,5.312535005,3.74399995803833,57.752,522.716713023635,145.046773303916,0.976738,0.791728,"Unemployment_total 2017; Income 2018; Forest%_2016"
"THA","Thailand","2019",4088,1455,NA,NA,5543,96035,96035,96035,517787,21,142,35,32.1576073127288,43.5,84.1,45.4,7808.19291629949,5.4365e+11,2.37187626,0.716400027275085,49.308,5548.39682734503,135.897206835131,0.986345,0.973221,"Pop. density 2018; Income 2018; Forest%_2016"
"TJK","Tajikistan","2020",NA,NA,274,NA,274,31690,31690,31690,142244,23,142,143,2.97139558971456,49.9,69.4,38.2,870.787589323223,8116626794,7.011268985,6.90000009536743,72.691,878.312776118015,65.5727141724908,1,0.647724,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"TKM","Turkmenistan","2020",201,250,NA,NA,451,15336,15336,15336,472138,21,142,143,8.78215904496414,43.1,68.4,43.9,6966.63541063077,NA,6.19999994137119,4,47.952,3394.66082245848,12.4505947694337,1,0.631396,"GDP_growth 2018; Unemployment_total 2010; Pop. density 2018; Income 2011; GDP_per.capita_2018; Forest%_2016"
"TLS","Timor-Leste","2020",13,0,NA,NA,13,1236,2401,2401,15007,17,142,35,45.3799588293859,39.5,95.4,35.3,1294.18893388776,1673540300,3.41419234594697,4.65729999542236,69.053,1370.95097379833,85.270477471419,0,0,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"TTO","Trinidad and Tobago","2020",NA,NA,166,NA,166,1595,1595,1595,5213,19,419,29,46.0233930026347,42.9,NA,47.5,17276.4654468225,24100202834,-0.00237163,3.20740008354187,46.813,13268.4925133376,270.927485380117,1,0.085714,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"TUN","Tunisia","2018",561,137,NA,NA,698,12286,12286,12286,155231,25,2,15,6.76622007705896,45,59.3,46.7,3317.54101348345,38797709924,1.042780016,15.1338996887207,30.746,2674.35179942183,74.4413233779609,1,1,"Pop. density 2018; Income 2018; Forest%_2016"
"TUR","Turkey","2020",1786,2788,NA,NA,4574,53731,78836,1709,782239,19,142,145,15.3546514437132,36.9,3.3,42.6,9042.49298288882,7.54412e+11,0.877433458,13.6654996871948,24.37,7644.55596070684,106.960128893104,NA,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"TWN","Taiwan","2020",145,674,NA,NA,819,6951,7146,7146,36245,21,142,30,NA,55.8,90.4,57.2,NA,NA,NA,NA,NA,NA,650,1,0.513457,"Source for pop. density (2021): https://eng.stat.gov.tw/point.asp?index=9"
"TZA","Tanzania","2020",3030,2020,NA,NA,5050,346032,362264,362264,947253,15,2,14,51.5782343644163,49.9,86.3,31.1,1122.12181047515,63177068175,5.791371376,2.12490010261536,65.5,848.1282391025,63.5790787988259,0.917774,0.626489,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016"
"UGA","Uganda","2018",1485,389,NA,NA,1874,24750,39054,39054,243145,19,2,14,9.68382230614467,42.2,92.6,35.6,776.768575885308,34387229486,6.507342527,9.84739971160889,75.639,532.966980803265,213.061734490325,0.76375,0.397073,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"UKR","Ukraine","2012",923,1209,NA,NA,2132,7000,77621,77621,598829,15,150,151,16.7080388142165,49.9,80.4,49.5,3659.03131229487,1.53781e+11,3.233491188,8.1943998336792,30.527,2619.90512522588,77.0296708039151,0.842979,0.410734,"Pop. density 2018; Income 2018; Forest%_2016"
"URY","Uruguay","2020",41,41,NA,NA,82,3764,6557,6557,178460,18,419,5,10.6715803350153,36.7,32.6,49.1,16190.1269572827,56045912952,0.222121735,9.35070037841797,4.574,14118.8319543292,19.7080276539824,0.094528,0.015627,"Pop. density 2018; Income 2018; Forest%_2016"
"USA","USA","2020",11030,30933,NA,NA,41963,608489.826676379,1235472,1235472,9490391,20,21,21,33.9297856663409,60.3,86.3,69.3,65118.3583328163,2.13744e+13,2.333577492,3.66919994354248,17.541,53497.2922694808,35.7136220923495,0.626018,0.36586,"Pop. density 2018; Income 2018; Forest%_2016"
"UZB","Uzbekistan","2014",185,221,NA,NA,406,11712,25976,25976,450363,17,142,143,7.54297138997856,54.1,49.2,44.3,1724.8411344137,57921286440,5.563723953,9.30000019073486,49.567,1311.16725161925,77.4708509637988,1,0.678961,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"VCT","Saint Vincent and the Grenadines","2020",25,17,NA,NA,42,91,92,92,410,19,419,29,69.2307692307692,51.3,NA,48.4,7463.53783093423,825385185.2,0.342428046,18.7900009155273,47.386,6324.03027256555,282.589743589744,0.885593,0,"Unemployment_total 2008; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"VEN","Venezuela","2021",3525,9448,NA,NA,12973,521790,521790,521790,917368,25,419,5,52.739188892353,52.9,87.5,50.3,16054.4905130962,NA,-3.89438647450662,6.60059976577759,11.76,14788.6602036549,32.7307919052208,0.224716,0.184635,"GDP_growth 2014; Unemployment_total 2012; Pop. density 2018; Income 2014; GDP_per.capita_2014; Forest%_2016"
"VGB","British Virgin islands","2020",10,5,NA,NA,15,16,16,16,176,18,419,29,24.1333325703939,NA,NA,NA,NA,NA,NA,3.28999996185303,51.884,NA,198.68,1,1,"Unemployment_total 1991; Pop. density 2018; Forest%_2016"
"VNM","Vietnam","2020",2277,1005,NA,NA,3282,24994,24994,24994,329880,24,142,35,48.0601154577999,28.5,66.6,33.4,2715.27603640721,2.61921e+11,7.017434882,2.03979992866516,63.372,2106.66192417329,308.125245912213,0.882936,0.503801,"Pop. density 2018; Income 2018; Forest%_2016"
"ZAF","South Africa","2017",4372,2438,NA,NA,6810,73749,106157,106157,1224385,20,2,18,7.61773652408313,51,79.4,43.1,6001.40081394888,3.51432e+11,0.152583317,28.4680995941162,33.144,5117.29160875369,47.6301197767684,NA,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"ZMB","Zambia","2020",911,400,NA,NA,1311,240800,311733,311733,755640,17,2,14,65.1991531194931,43.9,96.7,34.7,1291.34335737364,23064722446,1.705792875,12.006199836731,55.928,1128.28341666014,23.3414789007116,0.292226,0.291259,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"ZWE","Zimbabwe","2020",NA,NA,338,NA,338,13197,311773,311773,392573,10,2,14,35.5424573074189,46.7,94.8,37,1463.98591018054,21440758800,-8.1000002,16.8565998077393,67.79,1379.00324327751,37.3245909267158,0.583602,0.5793,"Pop. density 2018; Income 2018; Forest%_2016"
"ZZZ","W African Country","2020",357,100,NA,NA,457,42756,52240,52240,197924,23,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.34748,0.976257,0.00342,"Pop. density 2018; GDP 2018; Unemployment 2017"
"ALA","Åland Islands",NA,NA,NA,NA,NA,NA,NA,26,26,1553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,127,127,472,NA,150,39,34.0425531914894,NA,NA,NA,40886.3911648431,3154057987.23833,1.84923825726078,NA,12.016,NA,163.842553191489,0.59196,0,"Pop. density 2018; Forest%_2016"
"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,33,33,211,NA,9,61,87.5,NA,NA,NA,11466.6907058505,6.36e+08,2.18487394957982,9.19999980926514,12.853,NA,277.325,1,0.333333,"GDP_growth 2018; Unemployment_total 2010; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"ATA","Antarctica",NA,NA,NA,NA,NA,NA,NA,0,0,1.4e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF","French Southern Territories",NA,NA,NA,NA,NA,NA,NA,7847,7847,7855,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BES","Bonaire, Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,92,92,323,NA,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,1,1,"Pop. density source (2020): http://data.un.org/en/iso/bq.html"
"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,45,45,687,NA,142,145,0.784061684289783,52.2,NA,51,23503.977126673,38574069148.9362,1.81956900625906,1.20000004768372,10.606,20094.2843705576,2017.27369979138,1,0.806452,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,5,5,25,NA,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,28687,28687,207228,NA,150,151,42.6301064968239,51.1,99.2,53,6663.29529282582,63080457022.6599,1.22209662862558,4.15999984741211,20.956,5153.21210115544,46.7195037884204,1,0.318243,"Pop. density 2018; Income 2018; Forest%_2016"
"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,2,2,72,NA,21,21,18.5185181914697,NA,NA,NA,85748.0654143782,5573710000,-2.51115443098975,8.9399995803833,0,NA,1183.70368279874,1,0.727273,"GDP_growth 2013; Unemployment_total 2014; Pop. density 2018; GDP 2013; GDP_per.capita_2013; Forest%_2016"
